Protein Construct,Date,Stock Concentration mg/mL,pH,A400,A280_1hr,A280_48-72hr,,Expasy PI
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4,1.47,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4,0.93,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4,1.04,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4,1.45,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4,1.44,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4,1.43,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4.5,1.84,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4.5,1.89,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4.5,2.01,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4.5,2.09,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4.5,1.8,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,4.5,1.95,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5,3.02,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5,2.48,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5,2.15,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5,2.22,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5,3.06,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5,3.24,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5.5,1.77,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5.5,2.03,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5.5,2.19,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5.5,2.3,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5.5,2.3,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,5.5,2.56,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6,2.39,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6,1.76,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6,1.87,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6,2.64,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6,2.95,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6,3.28,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6.5,1.9,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6.5,2.35,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6.5,2.24,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6.5,2.36,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6.5,2.26,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,6.5,1.03,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7,0.03,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7.5,0.01,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7.5,0.04,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7.5,0.12,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,7.5,0.01,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8.5,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,8.5,0.05,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,9,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,9,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,9,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,9,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,9,0,,,,
1TEL-PA-TNK1.UBA,6/29/2024,5.071,9,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4,2.76,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4,2.97,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4,3.04,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4,4.12,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4,3.59,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4,2.68,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4.5,2.9,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4.5,4.29,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4.5,4.64,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4.5,2.49,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4.5,3.06,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,4.5,2.61,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5,0.13,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5,0.1,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5,0.2,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5,0.39,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5,0.43,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5,0.53,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5.5,0.02,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5.5,0.05,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,5.5,0.17,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6,0.06,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6.5,0.64,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,6.5,1.05,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7,0.03,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7.5,0.01,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7.5,0.01,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,7.5,0.05,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,8.5,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,9,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,9,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,9,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,9,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,9,0,,,,
2Trig-1TEL-PA-TNK1.UBA,6/29/2024,4.957,9,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4,0.82,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4,0.8,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4,1.14,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4,1.2,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4,1.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4,1.1,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4.5,0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4.5,0.09,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4.5,0.13,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4.5,0.23,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4.5,0.11,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,4.5,0.08,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5,-0.04,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5.5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5.5,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5.5,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5.5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5.5,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,5.5,0.1,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6,0.03,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6.5,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6.5,0.03,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6.5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6.5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6.5,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,6.5,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7,0.03,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7,0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7,-0.03,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7,-0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7.5,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7.5,0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7.5,0.04,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7.5,-0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7.5,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,7.5,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8,0.11,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8,0.05,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8,0.04,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8,0.03,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8.5,0.09,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8.5,0.05,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8.5,0.02,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8.5,0.03,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8.5,0.06,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,8.5,0.07,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,9,0.06,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,9,0,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,9,2,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,9,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,9,0.01,,,,
2Trig-10xHis-1TEL-SR-TNK1.UBA,8/1/2024,5.012,9,0.03,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4,0.44,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4,1.46,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4,1.25,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4,0.93,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4,1.13,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4,2.19,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4.5,1.19,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4.5,1.6,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4.5,0.96,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4.5,1.31,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4.5,1.37,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,4.5,2.15,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5,0.48,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5,0.54,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5,0.55,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5,0.59,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5,0.59,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5,0.7,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5.5,0,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5.5,0,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5.5,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5.5,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5.5,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,5.5,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6,0.04,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6,-0.42,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6,0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6,0.05,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6,0.48,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6,0.37,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6.5,0.04,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6.5,-0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6.5,0,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6.5,0.13,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6.5,0.45,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,6.5,0.12,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7,0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7,-0.04,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7,0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7,0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7.5,0.03,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7.5,0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7.5,-0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7.5,-0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7.5,0,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,7.5,0,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8,0.03,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8,0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8,-0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8,-0.01,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8,0,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8,0.02,,,,
2Trig-1TEL-GG-TNK1.UBA,8/2/2025,5.052,8.5,0.01,,,,
